BriefId,BrandFeedback,Curation,OnBrief,OverallScore,Time,photographerId
5665f2ab3e697f3a71598abd,2.64,59.375,50,62.015,100,54e3ff85f8695fca4f2bf278
5665f2ab3e697f3a71598abd,3.36,75,100,78.36,100,561ea1e9c8b571113c6951d6
5665f2ab3e697f3a71598abd,2.46,87.5,100,89.96,100,54e3ff85f8695fca4f2bf278
567b0824a0d2c1211754e190,0.15,87.5,60,87.65,100,554bc1b6ca066e1d65b943a0
564ca0853457e4810397e57a,0,12.5,0,0,0,55c8db143f48d0cf2aa71be3
568aa5649c4f3a3a44157a13,0.15,75,100,0,100,54e3ff85f8695fca4f2bf278
565c7f0c6cc6ba7843547304,0.96,81.25,100,82.21,100,5683f32c9c4f3a3a441538a5
565e2bb23e697f3a7157f7af,0,0,0,0,0,5470114fa5ed747b68c69ed9
565e2bb23e697f3a7157f7af,0,0,0,0,0,55b5253cec5142a442afa195
565e2bb23e697f3a7157f7af,0,56.25,0,56.25,100,5638c9f86ecb57e81501fe77
565e2bb23e697f3a7157f7af,0,0,0,0,0,56477399d084420b43c03c0b
565df78d3e697f3a7157b0c1,0,12.5,0,0,0,5470114fa5ed747b68c69ed9
565df78d3e697f3a7157b0c1,0,12.5,0,0,0,5567bfabd3b5e45f4345d8c3
565df78d3e697f3a7157b0c1,0,0,0,0,0,557f3fe06c59468a42190041
565df78d3e697f3a7157b0c1,0,0,0,0,0,55b5253cec5142a442afa195
565df78d3e697f3a7157b0c1,0,43.75,0,43.75,100,55ba50d585dfffe27395d67a
565df78d3e697f3a7157b0c1,0,12.5,0,0,0,5604c399337697b77fa0912b
565c7d896cc6ba78435472e0,1.59,87.5,100,89.09,100,5507582aac91beda29398a11
566b3c3d1c1e4646317e48f7,3,68.75,0,71.75,100,53e008a4d31db3c226aaad6a
566b3c3d1c1e4646317e48f7,3,43.75,0,46.75,100,53e5648e2f3aff8145661926
566b3c3d1c1e4646317e48f7,3,68.75,0,71.75,100,53baebb8a7402a19750003ef
566b3c3d1c1e4646317e48f7,3,0,0,0,0,536d7f22b7e6388147000075
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,53be5a0c126849c22f701fe8
566b3c3d1c1e4646317e48f7,3.18,60.41666667,33.33333333,63.59666667,100,5470114fa5ed747b68c69ed9
566b3c3d1c1e4646317e48f7,3.15,66.66666667,33.33333333,69.81666667,100,554230be43bff2bd53d1fe3e
566b3c3d1c1e4646317e48f7,3,50,0,53,100,553ab2d8a59d203f21bf3069
566b3c3d1c1e4646317e48f7,3,43.75,0,46.75,100,5500e18114870bd822d5b049
566b3c3d1c1e4646317e48f7,3.42,89.58333333,66.66666667,93.00333333,100,551cb8e0ca2266d75ad49b05
566b3c3d1c1e4646317e48f7,3,0,0,0,0,553ea2e6a59d203f21bf44bc
566b3c3d1c1e4646317e48f7,3,0,0,0,0,54d249fcec79ce9e06bf5f0f
566b3c3d1c1e4646317e48f7,3,0,0,0,0,553fee03a59d203f21bf503b
566b3c3d1c1e4646317e48f7,3,68.75,0,71.75,100,55490118ca066e1d65b92c17
566b3c3d1c1e4646317e48f7,3,0,0,0,0,5551828eca066e1d65b9656b
566b3c3d1c1e4646317e48f7,3,43.75,0,46.75,100,5578d7886c59468a421886f0
566b3c3d1c1e4646317e48f7,3,0,0,0,0,558d398d432d3cb33d7b5ec2
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,559ae1156a8c83d67a1d3d86
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,55a18bca6a8c83d67a1e40f1
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,5596f7016a8c83d67a1cd9a6
566b3c3d1c1e4646317e48f7,3.63,87.5,100,91.13,100,55c31f813f48d0cf2aa6ce3b
566b3c3d1c1e4646317e48f7,3,0,0,0,0,55bd747df32d99f27617d761
566b3c3d1c1e4646317e48f7,3,0,0,0,0,55b5253cec5142a442afa195
566b3c3d1c1e4646317e48f7,3.12,66.66666667,33.33333333,69.78666667,100,55d5fce8ae03426f6b39c213
566b3c3d1c1e4646317e48f7,3,43.75,0,46.75,100,55e4fb43fcba3b8b672e963c
566b3c3d1c1e4646317e48f7,3,0,0,0,0,55d8ede12328988d2a569dd9
566b3c3d1c1e4646317e48f7,3,0,0,0,0,55d8eb972328988d2a569dcf
566b3c3d1c1e4646317e48f7,3.15,79.16666667,33.33333333,82.31666667,100,55d7e32e2328988d2a5696f8
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,55da3d032328988d2a56a793
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,55deda2816b62ff84c63b31c
566b3c3d1c1e4646317e48f7,3.18,79.16666667,33.33333333,82.34666667,100,5604c399337697b77fa0912b
566b3c3d1c1e4646317e48f7,3,68.75,0,71.75,100,56200dd3c8b571113c69bb1e
566b3c3d1c1e4646317e48f7,3,0,0,0,0,562a83666ecb57e815002bbb
566b3c3d1c1e4646317e48f7,3.42,77.08333333,66.66666667,80.50333333,100,56181587c8b571113c6864fe
566b3c3d1c1e4646317e48f7,3,12.5,0,0,0,563a930d6ecb57e815027f14
566b3c3d1c1e4646317e48f7,3.15,66.66666667,33.33333333,69.81666667,100,563975966ecb57e815025e42
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,56451a13d084420b43bff62a
566b3c3d1c1e4646317e48f7,3.21,66.66666667,33.33333333,69.87666667,100,5652570f0e7319de1bba2403
566b3c3d1c1e4646317e48f7,3,12.5,0,0,0,5664a5a53e697f3a7159590b
566b3c3d1c1e4646317e48f7,3,43.75,0,46.75,100,5642dbeed084420b43bf9213
566b3c3d1c1e4646317e48f7,3.6,64.58333333,66.66666667,68.18333333,100,564e3d1f0468b5ec127f4e0d
566b3c3d1c1e4646317e48f7,3,0,0,0,0,5656c2026cc6ba784354288c
566b3c3d1c1e4646317e48f7,3.21,66.66666667,33.33333333,69.87666667,100,563ab9216ecb57e815028236
