brief_id,status,brand_id,brand_name,contract_id,contract_name,category,vertical,brief_allocation,photos_required,gifs_required,cinemagraphs_required,videos_required,brand_selection,rating,total_briefs_purchased,total_briefs_used,price_per_brief,product_type,created_date,
568a8a5a9c4f3a3a44156776,Closed,55c8f4343f48d0cf2aa724a5,Michelob ULTRA,57602705f832268652384e4a,CLOSED - Anheuser-Busch LLC USA - Subscription - 2015,Product,Alcohol,1,25,0,0,0,FALSE,,20,20,1000,,2016-01-04 15:06,
568a8a5a9c4f3a3a44156776,Closed,55c8f4343f48d0cf2aa724a5,Michelob ULTRA,57602705f832268652384e4a,CLOSED - Anheuser-Busch LLC USA - Subscription - 2015,Nature & Landscape,Alcohol,1,25,0,0,0,FALSE,,20,20,1000,,2016-01-04 15:06,
568a8a5a9c4f3a3a44156776,Closed,55c8f4343f48d0cf2aa724a5,Michelob ULTRA,57602705f832268652384e4a,CLOSED - Anheuser-Busch LLC USA - Subscription - 2015,Lifestyle,Alcohol,1,25,0,0,0,FALSE,,20,20,1000,,2016-01-04 15:06,
568aa4ab9c4f3a3a441579ff,Closed,562a6fcc6ecb57e815002a54,Alaska Air,562a720d6ecb57e815002a63,Alaska Air 2015 Subscription,Lifestyle,Travel & Hospitality,1,25,0,0,0,FALSE,3,48,72,1041.56,,2016-01-04 16:58,
568aa4ab9c4f3a3a441579ff,Closed,562a6fcc6ecb57e815002a54,Alaska Air,562a720d6ecb57e815002a63,Alaska Air 2015 Subscription,Interior,Travel & Hospitality,1,25,0,0,0,FALSE,3,48,72,1041.56,,2016-01-04 16:58,
568aa4ab9c4f3a3a441579ff,Closed,562a6fcc6ecb57e815002a54,Alaska Air,562a720d6ecb57e815002a63,Alaska Air 2015 Subscription,On Location,Travel & Hospitality,1,25,0,0,0,FALSE,3,48,72,1041.56,,2016-01-04 16:58,
568aa5649c4f3a3a44157a13,Closed,55d5d50cae03426f6b39be83,Bud Light Regional,57602808f832268652384e80,CLOSED - Anheuser Busch LLC USA - Regional Pilot - 2015,Product,Alcohol,1,5,0,0,0,FALSE,,8,8,2499.38,,2016-01-04 17:01,
568aa5649c4f3a3a44157a13,Closed,55d5d50cae03426f6b39be83,Bud Light Regional,57602808f832268652384e80,CLOSED - Anheuser Busch LLC USA - Regional Pilot - 2015,Lifestyle,Alcohol,1,5,0,0,0,FALSE,,8,8,2499.38,,2016-01-04 17:01,
568ad0c018b695047ac89e19,Closed,54f1110f3126a3ad09ebb717,J&J Band-Aids & Compromised Skin,558b036c532245803b9af5be,CLOSED - Neosporin/Bandaid - Annual Pack #1,Babies & Families,Consumer Products,1,25,,,,FALSE,5,20,20,999.75,,2016-01-04 20:06,
568ad0c018b695047ac89e19,Closed,54f1110f3126a3ad09ebb717,J&J Band-Aids & Compromised Skin,558b036c532245803b9af5be,CLOSED - Neosporin/Bandaid - Annual Pack #1,Lifestyle,Consumer Products,1,25,,,,FALSE,5,20,20,999.75,,2016-01-04 20:06,
568ad0c018b695047ac89e19,Closed,54f1110f3126a3ad09ebb717,J&J Band-Aids & Compromised Skin,558b036c532245803b9af5be,CLOSED - Neosporin/Bandaid - Annual Pack #1,Product,Consumer Products,1,25,,,,FALSE,5,20,20,999.75,,2016-01-04 20:06,
568af32718b695047ac8c5f7,Closed,54f1110f3126a3ad09ebb717,J&J Band-Aids & Compromised Skin,558b036c532245803b9af5be,CLOSED - Neosporin/Bandaid - Annual Pack #1,Product,Consumer Products,1,25,,,,FALSE,5,20,20,999.75,,2016-01-04 22:33,
568af32718b695047ac8c5f7,Closed,54f1110f3126a3ad09ebb717,J&J Band-Aids & Compromised Skin,558b036c532245803b9af5be,CLOSED - Neosporin/Bandaid - Annual Pack #1,Lifestyle,Consumer Products,1,25,,,,FALSE,5,20,20,999.75,,2016-01-04 22:33,
568af32718b695047ac8c5f7,Closed,54f1110f3126a3ad09ebb717,J&J Band-Aids & Compromised Skin,558b036c532245803b9af5be,CLOSED - Neosporin/Bandaid - Annual Pack #1,Babies & Families,Consumer Products,1,25,,,,FALSE,5,20,20,999.75,,2016-01-04 22:33,
568be45818b695047ac8d063,Closed,56819a659c4f3a3a44152ceb,Walmart Canada,56819ad79c4f3a3a44152cf4,Walmart Canada Trial,Recipes,Retail,,30,,,,FALSE,,4,3,2500,,2016-01-05 15:43,
568c03b218b695047ac8e034,Closed,568c032c18b695047ac8e027,Henkel Beauty,568c067b18b695047ac8e075,Henkel Beauty Trial,Beauty & Fashion,Beauty & Cosmetics,1,25,,,,FALSE,,4,3,1562.5,,2016-01-05 17:56,
568c03b218b695047ac8e034,Closed,568c032c18b695047ac8e027,Henkel Beauty,568c067b18b695047ac8e075,Henkel Beauty Trial,Portrait,Beauty & Cosmetics,1,25,,,,FALSE,,4,3,1562.5,,2016-01-05 17:56,
568c070118b695047ac8e076,Closed,55761c2f76f5cdcc110dbe22,Moen,558b036c532245803b9af5c3,Moen Trial,Product,Consumer Products,1,25,,,,FALSE,2.5,4,6,1248.75,,2016-01-05 18:10,
568c070118b695047ac8e076,Closed,55761c2f76f5cdcc110dbe22,Moen,558b036c532245803b9af5c3,Moen Trial,Lifestyle,Consumer Products,1,25,,,,FALSE,2.5,4,6,1248.75,,2016-01-05 18:10,
